ProductName,Category,Brand,UnitPrice
Washing Machine,Home Appliances,FakeVelvetVista,306
Basketball,Pets,FakeZenithStyle,835
Wi-Fi Extender,Arts & Crafts,FakeZenithStyle,838
Volleyball,Sports & Recreation,FakeZenithStyle,535
Snorkel Gear,Home & Furniture,FakeZenithStyle,725
Kayak,Electronics,FakeLuxeAura,929
Sheets,Sports & Recreation,FakeUrbanGlow,623
Bluetooth Speaker,Kitchen & Dining,FakeVelvetVista,625
Dart Board,Home Appliances,FakeZenithStyle,522
Smartphone,Electronics,FakeUrbanGlow,897
Drone,Health & Fitness,FakeVelvetVista,914
Tennis Racket,Outdoor & Garden,FakeZenithStyle,739
Lawn Sprinkler,Kitchen & Dining,FakeLuxeAura,956
Yoga Mat,Home & Furniture,FakeVelvetVista,796
Ping Pong Table,Toys & Games,FakeVelvetVista,277
Tent,Home Appliances,FakeVelvetVista,695
Camping Tent,Outdoor & Garden,FakeZenithStyle,974
Lawn Mower,Home Appliances,FakeLuxeAura,408
Game Console,Electronics,FakeEtherealEdge,226
Showerhead,Arts & Crafts,FakeLuxeAura,950
Memory Card,Pets,FakeZenithStyle,916
Dumbbells,Outdoor & Garden,FakeEtherealEdge,749
Laser Printer,Toys & Games,FakeZenithStyle,452
Dog Collar,Outdoor & Garden,FakeEtherealEdge,848
Dog Leash,Sports & Recreation,FakeUrbanGlow,658
Game Console,Health & Fitness,FakeUrbanGlow,216
Action Figure,Pets,FakeZenithStyle,677
Dehumidifier,Electronics,FakeUrbanGlow,500
Tent,Pets,FakeVelvetVista,212
Lawn Mower,Kitchen & Dining,FakeVelvetVista,908
Telescope,Toys & Games,FakeZenithStyle,124
Wetsuit,Health & Fitness,FakeLuxeAura,251
3D Printer,Pets,FakeVelvetVista,771
Hiking Backpack,Sports & Recreation,FakeUrbanGlow,309
Keyboard,Pets,FakeLuxeAura,825
Dog Leash,Electronics,FakeZenithStyle,296
Patio Furniture,Sports & Recreation,FakeVelvetVista,261
Soap,Outdoor & Garden,FakeUrbanGlow,586
Paddleboard,Home Appliances,FakeUrbanGlow,599
Water Bottle,Pets,FakeEtherealEdge,102
3D Printer,Toys & Games,FakeLuxeAura,194
Memory Card,Sports & Recreation,FakeUrbanGlow,636
Camera,Outdoor & Garden,FakeEtherealEdge,646
Monitor,Pets,FakeEtherealEdge,341
Dog House,Outdoor & Garden,FakeUrbanGlow,454
Antivirus,Arts & Crafts,FakeLuxeAura,330
Antivirus,Sports & Recreation,FakeZenithStyle,135
Jacket,Home & Furniture,FakeZenithStyle,127
Dishwasher,Electronics,FakeZenithStyle,902
Fan,Kitchen & Dining,FakeZenithStyle,154
Laser Printer,Pets,FakeEtherealEdge,177
Basketball,Kitchen & Dining,FakeVelvetVista,797
Sheets,Home Appliances,FakeUrbanGlow,876
Action Figure,Arts & Crafts,FakeUrbanGlow,503
Garden Tools,Pets,FakeZenithStyle,988
Portable Charger,Kitchen & Dining,FakeLuxeAura,748
Dog Leash,Pets,FakeLuxeAura,856
Surfboard,Arts & Crafts,FakeLuxeAura,578
Soap,Home Appliances,FakeUrbanGlow,627
Water Bottle,Outdoor & Garden,FakeEtherealEdge,243
Supplement,Home Appliances,FakeLuxeAura,321
Lawn Sprinkler,Home & Furniture,FakeEtherealEdge,386
Backpacking Stove,Sports & Recreation,FakeUrbanGlow,846
Life Jacket,Outdoor & Garden,FakeVelvetVista,163
Dart Board,Electronics,FakeZenithStyle,484
Treadmill,Home & Furniture,FakeZenithStyle,130
Dart Board,Arts & Crafts,FakeUrbanGlow,328
Electric Car,Home Appliances,FakeVelvetVista,911
Projector,Health & Fitness,FakeVelvetVista,138
Flashlight,Kitchen & Dining,FakeUrbanGlow,907
Tackle Box,Arts & Crafts,FakeEtherealEdge,991
Jacket,Kitchen & Dining,FakeLuxeAura,292
Kayak,Home & Furniture,FakeUrbanGlow,772
Plant Pot,Pets,FakeUrbanGlow,951
Water Bottle,Pets,FakeUrbanGlow,736
Pillow,Sports & Recreation,FakeVelvetVista,919
Juicer,Pets,FakeEtherealEdge,926
Sleeping Bag,Home & Furniture,FakeLuxeAura,407
Blender,Home Appliances,FakeZenithStyle,453
Thermos,Kitchen & Dining,FakeEtherealEdge,292
Antivirus,Home & Furniture,FakeZenithStyle,454
Snorkel Gear,Pets,FakeLuxeAura,542
Dart Board,Sports & Recreation,FakeLuxeAura,878
Bird Cage,Electronics,FakeZenithStyle,802
Coffee Maker,Arts & Crafts,FakeLuxeAura,376
Router,Home Appliances,FakeZenithStyle,755
Tent,Sports & Recreation,FakeVelvetVista,298
Dumbbells,Health & Fitness,FakeZenithStyle,580
Headphones,Kitchen & Dining,FakeZenithStyle,741
Robot Vacuum,Sports & Recreation,FakeLuxeAura,868
Smartwatch,Kitchen & Dining,FakeZenithStyle,490
Yoga Mat,Health & Fitness,FakeLuxeAura,365
Hiking Backpack,Kitchen & Dining,FakeZenithStyle,241
Board Game,Pets,FakeEtherealEdge,851
Thermos,Arts & Crafts,FakeZenithStyle,351
Electric Car,Outdoor & Garden,FakeEtherealEdge,124
Washing Machine,Toys & Games,FakeVelvetVista,587
Keyboard,Toys & Games,FakeLuxeAura,341
Cat Litter Box,Arts & Crafts,FakeZenithStyle,219
Bird Feeder,Sports & Recreation,FakeVelvetVista,352
